actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_reg/max,test/rwd_metrics/act_reg/mean,test/rwd_metrics/act_reg/min,test/rwd_metrics/act_reg/size,test/rwd_metrics/act_reg/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/distance/max,test/rwd_metrics/distance/mean,test/rwd_metrics/distance/min,test/rwd_metrics/distance/size,test/rwd_metrics/distance/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/lose/max,test/rwd_metrics/lose/mean,test/rwd_metrics/lose/min,test/rwd_metrics/lose/size,test/rwd_metrics/lose/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/vel_reward/max,test/rwd_metrics/vel_reward/mean,test/rwd_metrics/vel_reward/min,test/rwd_metrics/vel_reward/size,test/rwd_metrics/vel_reward/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.48119745,-0.09728401,92.417,-0.026557928,0.13577981,0.033951286,15.885029,199.5549,199.53377,55.03613,2766.2732,6541.3716,2758.857,1.0,-0.041175004,-1.0,1135,0.976311,0.42123247044605644,0.37986825443183597,0.3537302990089762,10,0.021566917332089364,151,113.5,84,10,20.48536062655476,10198.645677566528,7381.73432559967,5626.020805358887,10,1331.8566244357264,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-19.66770289933922,-166.79184881368457,-340.70947329636283,10,95.39512197385892,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,10520.422217241226,7648.526173459349,5810.051410892067,10,1352.9830995979034,0.011904761904761904,0.009095596961104286,0.006622516556291391,10,0.0016061161175306524,6.09309,-0.019677214,-6.241322,4082,1.323641,277,114.33637921187892,32,1751,30.88908024682332,17168.216918945312,7738.106696762268,2303.453405380249,1751,1826.051162475339,48107.0,233.57430171966553,200018.0,22.0,4983.421803236008,4400396.0,856.335643636261,89804.0
0.49671972,-0.14769605,94.84442,-0.031963818,0.18743363,0.039551374,15.892086,199.58183,199.55806,55.076874,2776.4944,6604.7075,2769.0667,1.0,-0.048616208,-1.0,1110,0.97302526,0.41446511763276744,0.37456728564949465,0.32981505201435085,10,0.025308443520532565,153,111.0,87,10,17.838161340227867,8924.331108093262,7080.117900848389,5649.611309051514,10,893.432180798547,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-44.12320329985683,-209.75708619353833,-653.6675195262746,10,206.08162172955937,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9677.99864880654,7389.874988438673,5801.1587243654685,10,1062.483347598111,0.011494252873563218,0.009224022168040408,0.006535947712418301,10,0.0013645354797355536,6.472208,-0.018911151,-6.0429835,4082,1.3255261,258,116.47482435597189,32,1708,31.63911992316592,15600.280456542969,7867.902858921739,2382.4969329833984,1708,1875.1337784180744,49815.0,232.32202911376953,200018.0,23.0,5215.743832349777,4600414.0,860.9515023736727,93886.0
0.5155891,-0.22402789,97.88238,-0.03660464,0.26527503,0.044435225,15.895516,199.64975,199.62083,54.877213,2780.9692,6536.657,2773.666,1.0,-0.04164997,-1.0,1090,0.97283477,0.4147873216291041,0.3774922760997538,0.3377051444394474,10,0.020854410142226106,148,109.0,83,10,21.05231578710523,8763.452167510986,6919.090851593018,5552.156650543213,10,1188.288817103747,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-63.172765498900375,-249.41464812168616,-510.6504219756894,10,135.06857348599357,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9201.795564224263,7268.505501512812,5715.329421711361,10,1246.7644800516289,0.012048192771084338,0.00950675651304696,0.006756756756756757,10,0.0017399434748343297,5.947962,-0.018962882,-6.5703793,4082,1.3251889,280,116.6156976744186,32,1720,31.72838007872805,17822.829750061035,7863.656386670401,2417.3170490264893,1720,1863.614480474836,51535.0,230.20906257629395,200018.0,24.0,5445.952894926071,4800432.0,868.8537182749342,97968.0
0.5397286,-0.3529013,100.69086,-0.02966211,0.39607957,0.03771738,15.8949375,199.6905,199.65776,55.13012,2790.586,6673.8994,2782.913,1.0,-0.049049646,-1.0,1074,0.9699588,0.3974525388525979,0.3742262560737425,0.35402273031807036,10,0.012044044899156135,138,107.4,86,10,14.616429112474771,8842.423812866211,6827.390394973755,5383.062057495117,10,977.4880622916033,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-84.68101354576179,-226.24447141962915,-287.07172896623763,10,58.04766883650264,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9125.208547857263,7153.634870076445,5690.563830384195,10,982.9872367187726,0.011627906976744186,0.00947088950747111,0.007246376811594203,10,0.0011888189528479402,5.8152595,-0.019259945,-5.939426,4082,1.3255306,254,117.96106194690266,48,1695,31.45105698228515,15633.919212341309,7942.359497038805,3568.3025436401367,1695,1825.7938263134902,53230.0,229.49567317962646,200018.0,25.0,5675.448568105698,5000450.0,871.5545579957219,102050.0
0.563621,-0.26424444,103.3887,-0.026282564,0.30933413,0.034553662,15.89659,199.68074,199.65532,55.178288,2795.2324,6618.1943,2787.674,1.0,-0.03269183,-1.0,1082,0.97053736,0.4114657604312702,0.3788678667362667,0.34446400078505607,10,0.020735166208958964,153,108.2,82,10,22.207206037680656,9028.376220703125,6821.74797782898,5242.944198608398,10,1122.355840374662,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-80.45025683556118,-196.7652286456379,-310.0407164542215,10,84.84742837278787,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9438.416913295367,7118.513205589293,5501.267451226876,10,1161.5394557398852,0.012195121951219513,0.009603763460976205,0.006535947712418301,10,0.001789975479201967,6.1486015,-0.020034853,-6.451794,4082,1.3246987,274,116.64177362893815,35,1714,31.167350906814693,17686.1466255188,7865.460756616804,2548.3530445098877,1714,1832.122849661477,54944.0,228.91339302062988,200018.0,26.0,5904.3619611263275,5200468.0,873.7715052870419,106132.0
0.5791601,-0.17575535,105.67901,-0.027317747,0.22208819,0.035772067,15.892737,199.67255,199.64891,54.84143,2798.486,6560.1562,2790.9817,1.0,-0.056574598,-1.0,1120,0.97454447,0.40740345230311004,0.37542157295540574,0.35816499725491935,10,0.016495102188258202,139,112.0,88,10,12.417729261020309,9035.84001159668,7293.115960502624,5624.093368530273,10,888.2662046756326,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-81.55506709513351,-203.48528339931016,-402.3973142374287,10,96.89401688564173,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9373.354213526103,7596.601240688784,5822.983566696382,10,887.2912317991138,0.011363636363636364,0.009039684158888797,0.007194244604316547,10,0.0010184016932989568,5.9614973,-0.018641215,-6.279255,4082,1.3248087,265,118.86504161712247,34,1682,32.441334268374625,16618.833559036255,7999.460506372305,2572.455892562866,1682,1904.0233007240363,56626.0,228.8449478149414,200018.0,27.0,6133.206908941269,5400486.0,874.0328414929539,110214.0
0.5943213,-0.13769229,108.14388,-0.0350798,0.18523799,0.04373131,15.898702,199.71205,199.683,54.61952,2802.418,6561.0386,2794.905,1.0,-0.039290573,-1.0,1120,0.9766533,0.41358043460185834,0.3822252582696118,0.35773205875074493,10,0.019935323110499142,156,112.0,86,10,19.81918262693999,9448.956218719482,7363.232619094849,5362.288627624512,10,1354.272990230706,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-66.0326183172168,-216.5228966674369,-443.52649988740495,10,108.54514204356171,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9768.83758151581,7679.7555092046005,5720.783384236425,10,1385.9269795774474,0.011627906976744186,0.009195768753096249,0.00641025641025641,10,0.001544375267763282,6.282721,-0.018751858,-6.4812503,4082,1.3241019,268,118.03766921718658,38,1699,32.53524904397087,17001.11280441284,7932.33110331647,2874.504180908203,1699,1905.1359784302945,58325.0,228.8163034915924,200018.0,28.0,6362.023212432861,5600504.0,874.1422571200195,114296.0
0.6068388,-0.13894181,110.27538,-0.026615426,0.1874889,0.03543746,15.896988,199.6797,199.6579,54.498905,2806.6082,6521.462,2799.0586,1.0,-0.060746957,-1.0,1065,0.96952677,0.3870749463950041,0.3691173966336675,0.3498852956914094,10,0.012063943108418778,140,106.5,82,10,16.200308639035246,8884.226501464844,6808.498884582519,5334.246425628662,10,1044.368325530978,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-49.621191790453906,-189.62528712937868,-370.7970212389522,10,103.00331525997656,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,9237.218883523266,7098.124175127236,5483.867623226396,10,1070.3356510758101,0.012195121951219513,0.009604994476791173,0.007142857142857143,10,0.0014367604504706194,6.6613083,-0.017880943,-6.1432295,4082,1.3240587,320,118.71496437054631,33,1684,31.953993640221256,19986.007194519043,7978.084815974474,2353.5000743865967,1684,1892.421774666838,60009.0,231.80094838142395,200018.0,29.0,6593.824160814285,5800522.0,862.886892381796,118378.0
0.6239274,-0.22863144,112.288414,-0.035685398,0.27854562,0.04466847,15.8985,199.64473,199.62082,54.186565,2807.7527,6543.1445,2800.2302,1.0,-0.05215654,-1.0,1052,0.9714133,0.41225481829838695,0.373401054114323,0.353550804828863,10,0.018579237434049888,138,105.2,89,10,15.197368193210298,9692.761730194092,7035.3468210220335,5751.940822601318,10,1104.6977609668456,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-52.982930647989164,-179.8971094379432,-389.9171223629062,10,96.91999088945893,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,10182.678842730496,7315.243921107171,6090.37587297167,10,1159.9304780644493,0.011235955056179775,0.00969095549349538,0.007246376811594203,10,0.0012932412833871088,5.967886,-0.0180572,-6.1907854,4082,1.3245153,389,120.52802893309223,51,1659,33.69491751492977,23993.951625823975,8076.023913344394,3616.1262702941895,1659,1960.6621587370817,61668.0,232.7569055557251,200018.0,30.0,6826.58106637001,6000540.0,859.3429248530417,122460.0
0.6417911,-0.18924898,114.64461,-0.03494018,0.24059229,0.044111744,15.898241,199.59424,199.56628,54.093212,2815.1025,6624.685,2807.6165,1.0,-0.021804646,-1.0,1245,0.9783437,0.4343569212045389,0.38701205289062823,0.35161460710109893,10,0.02505875769832317,211,124.5,87,10,35.44079570212836,12508.894207000732,8039.660205459595,5736.128578186035,10,2063.743568421279,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-91.46275380663035,-267.9719527277076,-458.11812351734943,10,110.99592073685703,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,13067.012345045998,8407.632155692794,6014.476892583229,10,2136.0479258510845,0.011494252873563218,0.00858200851907143,0.004739336492890996,10,0.0020114277174741336,5.925504,-0.0160549,-5.8166633,4082,1.325461,278,120.25165562913908,41,1661,33.242425979117925,16847.029571533203,8063.651379907368,3011.4098148345947,1661,1934.6728701979587,63329.0,235.00704717636108,200018.0,31.0,7061.5881135463715,6200558.0,851.1149023114036,126542.0
0.6557456,-0.15059456,116.61341,-0.03171277,0.2030542,0.041041847,15.90244,199.61093,199.58984,53.6595,2825.0557,6506.7876,2817.8135,1.0,-0.051211134,-1.0,1093,0.96779317,0.39753204477145887,0.368806300935826,0.34230665973753954,10,0.018219302402908248,165,109.3,82,10,23.592583580439,10580.768688201904,6977.616678619384,5233.34232711792,10,1478.4381732779714,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-77.04523349189192,-215.78745398073593,-375.24206983569906,10,95.05064524832324,0,0.0,0,10,0.0,-100,-100.0,-100,10,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,10,0.0,10919.97936386121,7293.40413694504,5577.147497062845,10,1460.4311935046394,0.012195121951219513,0.009529632950019561,0.006060606060606061,10,0.0018145503649550458,6.5790067,-0.016112514,-6.625136,4082,1.3259088,307,122.88615384615385,58,1625,32.294242768275765,19335.916694641113,8233.625432078436,4106.591232299805,1625,1888.86521602185,64954.0,233.2943353652954,200018.0,32.0,7294.882448911667,6400576.0,857.3632946844128,130624.0
